Paper,Full title,Title or Abstract-1,Abstract-2,Introduction-3,Introduction-4a,Introduction-4b,Study Design-5,Study Design-6,Data-7a,Data-7b,Data-7c,Data-7d,Data-8,Data-9a,Data-9b,Data-9c,Data-9d,Data-9e,Data-9f,Data-10,Data-11,Data-12,Data-13,Ground Truth-14,Ground Truth-15,Ground Truth-16,Ground Truth-17,Ground Truth-18,Data Partitions-19,Data Partitions-20,Testing Data-21,Model-22,Model-23,Model-24,Training-25,Training-26,Training-27,Evaluation-28,Evaluation-29,Evaluation-30,Evaluation-31,Evaluation-32,Evaluation-33,Evaluation-34,Data-35,Data-36,Model Performance-37,Model Performance-38,Model Performance-39,Discussion-40,Discussion-41,Other information-42,Other information-43,Other information-44
"Altameem T, 2020",Altameem T. Fuzzy rank correlation-based segmentation method and deep neural network for bone cancer identification. Neural Computing and Applications. 2020.,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
"Chiappa V et al., 2021","Chiappa V, Interlenghi M, Salvatore C, Bertolina F, Bogani G, Ditto A, et al. Using rADioMIcs and machine learning with ultrasonography for the differential diagnosis of myometRiAL tumors (the ADMIRAL pilot study). Radiomics and differential diagnosis of myometrial tumors. Gynecol Oncol. 2021;161(3):838-44.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No
"Bandyopadhyay O et al., 2019","Bandyopadhyay O, Biswas A, Bhattacharya BB. Bone-Cancer Assessment and Destruction Pattern Analysis in Long-Bone X-ray Image. J Digit Imaging. 2019;32(2):300-13.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes
"Chen T et al., 2019","Chen T, Liu S, Li Y, Feng X, Xiong W, Zhao X, et al. Developed and validated a prognostic nomogram for recurrence-free survival after complete surgical resection of local primary gastrointestinal stromal tumors based on deep learning. EBioMedicine. 2019;39:272-9.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes
"Ba-Ssalamah A et al., 2013","Ba-Ssalamah A, Muin D, Schernthaner R, Kulinna-Cosentini C, Bastati N, Stift J, et al. Texture-based classification of different gastric tumors at contrast-enhanced CT. Eur J Radiol. 2013;82(10):e537-43.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
"Crombe A et al., 2019","Crombe A, Perier C, Kind M, De Senneville BD, Le Loarer F, Italiano A, et al. T2 -based MRI Delta-radiomics improve response prediction in soft-tissue sarcomas treated by neoadjuvant chemotherapy. J Magn Reson Imaging. 2019;50(2):497-510.",Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
"Chen H et al., 2021","Chen H, Zhang X, Wang X, Quan X, Deng Y, Lu M, et al. MRI-based radiomics signature for pretreatment prediction of pathological response to neoadjuvant chemotherapy in osteosarcoma: a multicenter study. Eur Radiol. 2021;31(10):7913-24.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes
"Chen X et al., 2020","Chen X, Huang Y, He L, Zhang T, Zhang L, Ding H. CT-Based Radiomics to Differentiate Pelvic Rhabdomyosarcoma From Yolk Sac Tumors in Children. Front oncol. 2020;10:584272.",Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
"Bouhamama A et al., 2022","Bouhamama A, Leporq B, Khaled W, Nemeth A, Brahmi M, Dufau J, et al. Prediction of Histologic Neoadjuvant Chemotherapy Response in Osteosarcoma Using Pretherapeutic MRI Radiomics. Radiol Imaging Cancer. 2022;4(5):e210107.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No
"Chen CY et al., 2009","Chen CY, Chiou HJ, Chou SY, Chiou SY, Wang HK, Chou YH, Chiang HK. Computer-aided diagnosis of soft-tissue tumors using sonographic morphologic and texture features. Acad Radiol. 2009;16(12):1531-8.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No
"Chen T et al., 2019","Chen T, Ning Z, Xu L, Feng X, Han S, Roth HR, et al. Radiomics nomogram for predicting the malignant potential of gastrointestinal stromal tumours preoperatively. Eur Radiol. 2019;29(3):1074-82.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes
"Chu H et al., 2021","Chu H, Pang P, He J, Zhang D, Zhang M, Qiu Y, et al. Value of radiomics model based on enhanced computed tomography in risk grade prediction of gastrointestinal stromal tumors. Sci rep. 2021;11(1):12009.",Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes
"Ao W et al., 2021","Ao W, Cheng G, Lin B, Yang R, Liu X, Zhou C, et al. A novel CT-based radiomic nomogram for predicting the recurrence and metastasis of gastric stromal tumors. Am J Cancer Res. 2021;11(6):3123-34.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes
"Chen Z et al., 2021","Chen Z, Xu L, Zhang C, Huang C, Wang M, Feng Z, Xiong Y. CT Radiomics Model for Discriminating the Risk Stratification of Gastrointestinal Stromal Tumors: A Multi-Class Classification and Multi-Center Study. Front oncol. 2021;11:654114.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No
"Banerjee I et al., 2018","Banerjee I, Crawley A, Bhethanabotla M, Daldrup-Link HE, Rubin DL. Transfer learning on fused multiparametric MR images for classifying histopathological subtypes of rhabdomyosarcoma. Comput Med Imaging Graph. 2018;65:167-75.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes
"Baskaran K et al., 2018","Baskaran K, Malathi R, Thirusakthimurugan P. Feature Fusion for FDG-PET and MRI for Automated Extra Skeletal Bone Sarcoma Classification. Mater Today-Proc. 2018;5(1):1879-89.",Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"Chen S et al., 2021","Chen S, Li N, Tang Y, Chen B, Fang H, Qi S, et al. Radiomics Analysis of Fat Saturated T2-Weighted MRI Sequences for Prognostic Prediction to Soft-Tissue Sarcoma of the Extremities and Trunk Treated With Neoadjuvant Radiotherapy. Int J Radiat Oncol Biol Phys. 2021;111(3):e315.",Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
"Cilengir AH et al., 2023","Cilengir AH, Evrimler S, Serel TA, Uluc E, Tosun O. The diagnostic value of magnetic resonance imaging-based texture analysis in differentiating enchondroma and chondrosarcoma. Skeletal Radiol. 2023;52(5):1039-49.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
"Chiou HJ et al., 2009","Chiou HJ, Chen CY, Liu TC, Chiou SY, Wang HK, Chou YH, Chiang HK. Computer-aided diagnosis of peripheral soft tissue masses based on ultrasound imaging. Comput Med Imaging Graph. 2009;33(5):408-13.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No
"Crombe A et al., 2020","Crombe A, Fadli D, Buy X, Italiano A, Saut O, Kind M. High-Grade Soft-Tissue Sarcomas: Can Optimizing Dynamic Contrast-Enhanced MRI Postprocessing Improve Prognostic Radiomics Models? J Magn Reson Imaging. 2020;52(1):282-97.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes
"Alge O et al., 2020","Alge O, Lu L, Li Z, Hua Y, Gryak J, Najarian K. Automated Classification of Osteosarcoma and Benign Tumors using RNA-seq and Plain X-ray. Annu Int Conf IEEE Eng Med Biol Soc. 2020;2020:1165-8.",No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes
"Consalvo S et al., 2022","Consalvo S, Hinterwimmer F, Neumann J, Steinborn M, Salzmann M, Seidl F, et al. Two-Phase Deep Learning Algorithm for Detection and Differentiation of Ewing Sarcoma and Acute Osteomyelitis in Paediatric Radiographs. Anticancer Res. 2022;42(9):4371-80.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No
"Cappello G et al., 2023","Cappello G, Giannini V, Cannella R, Tabone E, Ambrosini I, Molea F, et al. A mutation-based radiomics signature predicts response to imatinib in Gastrointestinal Stromal Tumors (GIST). Eur J Radiol Open. 2023;11:100505.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes
"Blackledge MD et al., 2019","Blackledge MD, Winfield JM, Miah A, Strauss D, Thway K, Morgan VA, et al. Supervised Machine-Learning Enables Segmentation and Evaluation of Heterogeneous Post-treatment Changes in Multi-Parametric MRI of Soft-Tissue Sarcoma. Front oncol. 2019;9:941.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes
"Cay N et al., 2022","Cay N, Mendi BAR, Batur H, Erdogan F. Discrimination of lipoma from atypical lipomatous tumor/well-differentiated liposarcoma using magnetic resonance imaging radiomics combined with machine learning. Jpn J Radiol. 2022;40(9):951-60.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes
"Chianca V et al., 2021","Chianca V, Cuocolo R, Gitto S, Albano D, Merli I, Badalyan J, et al. Radiomic Machine Learning Classifiers in Spine Bone Tumors: A Multi-Software, Multi-Scanner Study. Eur J Radiol. 2021;137:109586.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
"Zhang QW et al., 2023","Zhang QW, Zhang RY, Yan ZB, Zhao YX, Wang XY, Jin JZ, et al. Personalized radiomics signature to screen for KIT-11 mutation genotypes among patients with gastrointestinal stromal tumors: a retrospective multicenter study. J transl med. 2023;21(1):726.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
"Yuguang Y et al., 2024","Yuguang Y, Chen Y, Zhu D, Huang Y, Huang Y, Li X, Xiahou J. GHA-DenseNet prediction and diagnosis of malignancy in femoral bone tumors using magnetic resonance imaging. J Bone Oncol. 2024;44:100520.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No
"Yisheng X et al., 2024","Yisheng X, Yueqin L, Ming Z. Diagnostic significance of multisequence MRI radiomics models in distinguishing benign and malignant spinal fractures. J Radiat Res Appl Sci. 2024;17(3).",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes
"Yang F et al., 2024","Yang F, Feng Y, Sun P, Traverso A, Dekker A, Zhang B, et al. Preoperative prediction of high-grade osteosarcoma response to neoadjuvant therapy based on a plain CT radiomics model: A dual-center study. J Bone Oncol. 2024;47:100614.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes
"Xu L et al., 2024","Xu L, Wang MY, Qi L, Zou YF, Fei-Yun WU, Sun XL. Radiomics approach to distinguish between benign and malignant soft tissue tumors on magnetic resonance imaging. Eur J Radiol Open. 2024;12:100555.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes
"Xie Z et al., 2024","Xie Z, Zhao H, Song L, Ye Q, Zhong L, Li S, et al. A radiograph-based deep learning model improves radiologists' performance for classification of histological types of primary bone tumors: A multicenter study. Eur J Radiol. 2024;176.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
"Wang J et al., 2024","Wang J, Shao M, Hu H, Xiao W, Cheng G, Yang G, et al. Convolutional neural network applied to preoperative venous-phase CT images predicts risk category in patients with gastric gastrointestinal stromal tumors. BMC Cancer. 2024;24(1):280.",Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes
"Tamehisa T et al., 2024","Tamehisa T, Sato S, Sakai T, Maekawa R, Tanabe M, Ito K, Sugino N. Establishment of Noninvasive Prediction Models for the Diagnosis of Uterine Leiomyoma Subtypes. Obstet Gynecol. 2024;143(3):358-65.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
"Sun K et al., 2024","Sun K, Yu S, Wang Y, Jia R, Shi R, Liang C, et al. Development of a multi-phase CT-based radiomics model to differentiate heterotopic pancreas from gastrointestinal stromal tumor. BMC med imaging. 2024;24(1):44.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes
"Shrivastava A, Nag MK, 2024","Shrivastava A, Nag MK. Enhancing Bone Cancer Diagnosis Through Image Extraction and Machine Learning: A State-of-the-Art Approach. Surg Innov. 2024;31(1):58-70.",Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No
"Sampath K et al., 2024","Sampath K, Rajagopal S, Chintanpalli A. A comparative analysis of CNN-based deep learning architectures for early diagnosis of bone cancer using CT images. Sci rep. 2024;14(1):2144.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes
"Long B et al., 2023","Long B, Zhang H, Zhang H, Chen W, Sun Y, Tang R, et al. Deep learning models of ultrasonography significantly improved the differential diagnosis performance for superficial soft-tissue masses: a retrospective multicenter study. BMC Med. 2023;21(1):405.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes
"Liu Y et al., 2023","Liu Y, Yin P, Cui J, Sun C, Chen L, Hong N, Li Z. Radiomics analysis based on CT for the prediction of pulmonary metastases in ewing sarcoma. BMC med imaging. 2023;23(1):147.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes
"Li A et al., 2024","Li A, Hu Y, Cui XW, Ye XH, Peng XJ, Lv WZ, Zhao CK. Predicting the malignancy of extremity soft-tissue tumors by an ultrasound-based radiomics signature. Acta Radiol. 2024;65(5):470-81.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes
"Li X et al., 2024","Li X, Zhang J, Leng Y, Liu J, Li L, Wan T, et al. Preoperative prediction of histopathological grading in patients with chondrosarcoma using MRI-based radiomics with semantic features. BMC med imaging. 2024;24(1):171.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
"Li Q et al., 2024","Li Q, Wang N, Wang Y, Li X, Su Q, Zhang J, et al. Intratumoral and peritumoral CT radiomics in predicting prognosis in patients with chondrosarcoma: a multicenter study. Insights imaging. 2024;15(1):9.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
"Ji X et al., 2024","Ji X, Shang Y, Tan L, Hu Y, Liu J, Song L, et al. Prediction of High-Risk Gastrointestinal Stromal Tumor Recurrence Based on Delta-CT Radiomics Modeling: A 3-Year Follow-up Study After Surgery. Clin Med Insights Oncol. 2024;18:11795549241245698.",Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No
"Jansma C et al., 2024","Jansma C, Wan X, Acem I, Spaanderman DJ, Visser JJ, Hanff D, et al. Preoperative Classification of Peripheral Nerve Sheath Tumors on MRI Using Radiomics. Cancers (Basel) 2024; 16(11).",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
"Iwai T et al., 1-8","Iwai T, Kida M, Okuwaki K, Watanabe M, Adachi K, Ishizaki J, et al. Deep learning analysis for differential diagnosis and risk classification of gastrointestinal tumors. Scand J Gastroenterol. 2024:1-8.",Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes
"He J, Bi X, 2024","He J, Bi X. Automatic classification of spinal osteosarcoma and giant cell tumor of bone using optimized DenseNet. J Bone Oncol. 2024;46:100606.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes
"Guo C et al., 2023","Guo C, Zhou H, Chen X, Feng Z. Computed tomography texture-based models for predicting KIT exon 11 mutation of gastrointestinal stromal tumors. Heliyon. 2023;9(10):e20983.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
"Crombe A et al., 2024","Crombe A, Lucchesi C, Bertolo F, Kind M, Spalato-Ceruso M, Toulmonde M, et al. Integration of pre-treatment computational radiomics, deep radiomics, and transcriptomics enhances soft-tissue sarcoma patient prognosis. NPJ Precis Oncol. 2024;8(1):129.",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
